,區號名
2380,(0500)八德段
2381,(0407)三合段
2382,(0537)下溪段
2383,(0405)大屯子段
2384,(0518)大學段
2385,(0525)大庄段
2386,(0531)大屯段
2387,(0499)工專段
2388,(0527)中科段
2389,(0536)中溪段
2390,(0501)五間段
2391,(0523)五福段
2392,(0508)仁愛段
2393,(0526)內安段
2394,(0506)公安段
2395,(0406)牛埔子段
2396,(0404)北溪厝段
2397,(0503)北平段
2398,(0410)平和厝段
2399,(0513)弘道段
2400,(0476)永合段
2401,(0497)立仁段
2402,(0514)光明段
2403,(0512)同心段
2404,(0413)安慶段
2405,(0403)竹圍子段
2406,(0543)竹安段
2407,(0489)延平段
2408,(0498)忠孝段
2409,(0505)明正段
2410,(0509)東興段
2411,(0542)芳草段
2412,(0400)虎尾段
2413,(0511)虎新段
2414,(0510)信義段
2415,(0517)泰安段
2416,(0519)高北段
2417,(0520)高南段
2418,(0504)博愛段
2419,(0412)惠來厝段
2420,(0402)廉使段
2421,(0529)廉使南段
2422,(0530)廉使北段
2423,(0496)新吉段
2424,(0515)新屯段
2425,(0540)新墾地段
2426,(0541)路墘段
2427,(0411)過溪子段
2428,(0533)過溪段
2429,(0524)福德段
2430,(0507)德興段
2431,(0502)墾地段
2432,(0522)興安段
2433,(0535)興南段
2434,(0409)蕃薯段
2435,(0538)龍安段
2436,(0401)埒內段
2437,(0528)埒堀段
2438,(0539)堀頭段
2439,(0408)湳子段
2440,(0304)三塊厝段三塊厝小段
2441,(0305)三塊厝段鹿場小段
2442,(0307)下湳段
2443,(0388)大同段
2444,(0399)大新段
2445,(0387)市仔頭段
2446,(0300)西螺段
2447,(0385)西中段
2448,(0306)吳厝段
2449,(0362)東南段
2450,(0310)社口段
2451,(0369)社東段
2452,(0370)社西段
2453,(0301)茄苳段
2454,(0386)茄西段
2455,(0311)埔心段
2456,(0366)埔北段
2457,(0367)埔東段
2458,(0368)埔西段
2459,(0390)振興段
2460,(0303)埤頭埧段
2461,(1202)埤頭段
2462,(0308)頂湳段
2463,(0302)新宅段
2464,(0309)新社段
2465,(0389)新街段
2466,(0391)新吳厝段
2467,(0364)漢北段
2468,(0365)漢南段
2469,(1210)漢光段
2470,(1203)廣興段
2471,(1204)廣福段
2472,(0363)興西段
2473,(0420)大荖段
2474,(0471)文化段
2475,(0419)石廟子段
2476,(0473)光復段
2477,(0490)竹寮段
2478,(0455)秀潭段
2479,(0422)馬公厝段
2480,(0418)埤腳段
2481,(0421)崙內段
2482,(0494)崙前段
2483,(0516)崙埤段
2484,(0472)復興段
2485,(0484)港興段
2486,(0475)菜園段
2487,(0474)越港段
2488,(0532)順安段
2489,(0416)新興段
2490,(0423)新庄子段
2491,(0456)新埤腳段
2492,(0491)新北段
2493,(0492)新南段
2494,(0415)過港段
2495,(0457)綺湖段
2496,(0424)奮起段
2497,(0458)興新段
2498,(0417)糞箕湖段
2499,(0739)三仙段
2500,(0774)三王段
2501,(0775)三義段
2502,(0786)口庄段
2503,(0715)大北段
2504,(0722)大同段
2505,(0777)大庄段
2506,(0719)仁和段
2507,(0798)太平段
2508,(0600)北港段
2509,(0794)同仁段
2510,(0607)好收段
2511,(0609)扶朝家段
2512,(0693)扶朝段
2513,(0679)府番段
2514,(0797)武德段
2515,(0723)南陽段
2516,(0602)後溝子段後溝子小段
2517,(0603)後溝子段府番小段
2518,(0604)草湖段
2519,(0746)乾元段
2520,(0776)頂庄段
2521,(0781)復興段
2522,(0606)番子溝段
2523,(0788)番溝段
2524,(0601)新街段
2525,(0779)新南段
2526,(0780)新北段
2527,(0785)新東段
2528,(0793)新西段
2529,(0605)溝皂段
2530,(0718)聖母段
2531,(0782)聖平段
2532,(0757)福德段
2533,(0778)福茂段
2534,(0787)劉厝段
2535,(0720)廟東段
2536,(0721)廟西段
2537,(0608)樹子腳段
2538,(0127)下麻園段
2539,(0169)下崁腳段
2540,(0038)大湖底段
2541,(0152)大湖口段
2542,(0170)中洲段
2543,(0030)水碓段
2544,(0134)水碓東段
2545,(0135)水碓西段
2546,(0166)水碓新段
2547,(0026)古坑段古坑小段
2548,(0027)古坑段湳子小段
2549,(0128)永昌段
2550,(0129)永光段
2551,(0130)永興段
2552,(0133)田心段
2553,(0087)石坑段
2554,(0101)尖山坑段
2555,(0029)西華段
2556,(0028)東興段
2557,(0058)東和段
2558,(0059)東陽段
2559,(0064)青山段
2560,(0153)南昌段
2561,(0107)建德段
2562,(0039)苦苓腳段
2563,(0035)崁頭厝段
2564,(0037)崁腳段
2565,(0041)草嶺段
2566,(0031)高厝林子頭段
2567,(0143)高林南段
2568,(0144)高林北段
2569,(0145)荷苞段
2570,(0036)麻園段
2571,(0126)麻園庄段
2572,(0034)棋盤厝段
2573,(0093)棋盤段
2574,(0113)棋東段
2575,(0164)棋山段
2576,(0033)新庄段
2577,(0094)新光段
2578,(0163)新園段
2579,(0032)溪邊厝段
2580,(0040)樟湖段
2581,(0162)湳子段
2582,(0258)三結段
2583,(0221)大埤段
2584,(0252)大德段
2585,(0259)北和段
2586,(0223)田子林段
2587,(0229)西鎮段
2588,(0253)妮姑庵段
2589,(0246)尚義段
2590,(0250)怡然段
2591,(0233)松竹段
2592,(0260)南和段
2593,(0226)茄苳腳段
2594,(0224)埔羌崙段
2595,(0225)埤頭段
2596,(0251)嘉興段
2597,(0256)磚仔窯段
2598,(0254)興安段
2599,(0222)舊庄段
2600,(0228)豐田段
2601,(0249)鎮平段
2602,(0227)蘆竹巷段
2603,(0045)大埔尾段
2604,(0073)大美段
2605,(0072)中園段
2606,(0103)五華段
2607,(0100)四合段
2608,(0097)和平段
2609,(0104)東興段
2610,(0098)南安段
2611,(0086)埔子段
2612,(0095)埔北段
2613,(0096)埔南段
2614,(0046)麻園段
2615,(0047)湖子內段
2616,(0102)湖內段
2617,(0043)番子段
2618,(0048)新庄子段
2619,(0044)樹子腳段
2620,(0099)饒平段
2621,(0042)莿桐段
2622,(0053)九芎林段
2623,(0116)九芎段
2624,(0118)九芎南段
2625,(0052)中山段
2626,(0111)仁愛段
2627,(0114)永昌段
2628,(0051)成功段
2629,(0049)林內段
2630,(0115)長興段
2631,(0109)重興段
2632,(0110)烏塗段
2633,(0125)烏麻段
2634,(0112)頂庄段
2635,(0119)湖本段
2636,(0140)湖山寮段
2637,(0105)進興段
2638,(0050)新興段
2639,(0131)寶隆段
2640,(0108)芎蕉段
2641,(0117)芎林段
2642,(0312)二崙段
2643,(0316)八角亭段
2644,(0314)三塊厝段
2645,(0351)三和段
2646,(0317)大義崙段
2647,(0320)大庄段
2648,(0321)公館段
2649,(1200)四番地段
2650,(0325)永定厝段
2651,(1206)永定段
2652,(0313)田尾段
2653,(0384)來惠段
2654,(0318)油車段
2655,(0380)崙北段
2656,(0381)崙西段
2657,(0382)崙東段
2658,(0383)崙南段
2659,(1201)荷苞嶼段
2660,(0315)惠來厝段
2661,(0322)港後段
2662,(0319)番社段
2663,(0396)慈仁段
2664,(0323)新庄子段新庄子小段
2665,(0324)新庄子段大北園小段
2666,(0393)新田尾段
2667,(0394)新港後段
2668,(0395)新油車段
2669,(1211)新西段
2670,(1205)義賢段
2671,(0392)湳仔段
2672,(0330)大有段
2673,(0350)大豐段
2674,(0358)中厝段
2675,(0376)中勸段
2676,(0328)五塊厝段
2677,(0377)天后段
2678,(0343)永安段
2679,(0344)成功段
2680,(0372)有勸段
2681,(0379)西榮段
2682,(0352)東興段
2683,(0373)東玄段
2684,(0329)阿勸段
2685,(0378)南榮段
2686,(1209)洲仔段
2687,(0374)面前厝段
2688,(0332)草湖段
2689,(0334)崩溝寮段
2690,(0326)崙背段
2691,(0353)港尾段
2692,(0375)順天段
2693,(1207)新貓兒干段
2694,(1208)新草湖段
2695,(0354)福興段
2696,(0331)貓兒干段
2697,(0333)舊庄段
2698,(0345)豐草段
2699,(0398)豐榮段
2700,(0397)庄內段
2701,(0346)山寮段
2702,(0359)中山段
2703,(1126)六輕段
2704,(0357)永吉段
2705,(1122)光大段
2706,(1146)光南段
2707,(1135)吉安段
2708,(0348)圳寮段
2709,(0349)安西段
2710,(1123)成德段
2711,(1141)後安段
2712,(1124)拱範段
2713,(0338)施厝寮段
2714,(1121)泰順段
2715,(1145)泰盛段
2716,(0356)崙南段
2717,(0341)許厝寮段許厝寮小段
2718,(0342)許厝寮段後安寮小段
2719,(1139)麥豐段
2720,(1142)麥中段
2721,(1134)順天段
2722,(1120)新中段
2723,(1136)新吉段
2724,(1147)新麥寮段
2725,(1140)楊厝段
2726,(0339)雷厝段
2727,(0347)福安段
2728,(0340)橋頭段
2729,(0336)興化厝段
2730,(0355)興忠段
2731,(0371)興寮段
2732,(0360)豐安段
2733,(0361)豐興段
2734,(1144)豐津段
2735,(1143)鎮南段
2736,(1117)仁愛段
2737,(0435)月眉段
2738,(0429)牛埔頭段
2739,(1109)四美段
2740,(0434)同安厝段
2741,(1129)同北段
2742,(0479)圳頭段
2743,(1114)安南段
2744,(1105)西寮段
2745,(1108)西安段
2746,(1113)和平段
2747,(0470)昌南段
2748,(1001)明倫段
2749,(0426)東北段
2750,(0427)東南段
2751,(0477)東安段
2752,(1116)東西段
2753,(0485)馬山段
2754,(0478)港底段
2755,(0480)程海段
2756,(1002)媽埔段
2757,(1128)新北段
2758,(1137)新美段
2759,(0428)嘉隆段
2760,(1115)龍潭段
2761,(0465)三湖段
2762,(0466)六勝段
2763,(0493)王厝段
2764,(0521)北興段
2765,(0463)田洋段
2766,(0534)有才段
2767,(0459)忠興段
2768,(0460)忠東段
2769,(0436)埔姜崙段
2770,(0462)埔崙段
2771,(0468)馬鳴段
2772,(0464)新湖段
2773,(0439)潮洋厝段
2774,(0461)褒忠段
2775,(0438)龍岩段
2776,(0467)龍林段
2777,(0495)龍王段
2778,(0445)十張犁段
2779,(0469)三姓段
2780,(0446)山寮段
2781,(0444)五塊寮段
2782,(0488)五港段
2783,(1118)五榔段
2784,(1127)五華段
2785,(1111)公館段
2786,(0453)台興段
2787,(0483)光華段
2788,(1106)光明段
2789,(0481)成功段
2790,(1107)旭安段
2791,(1110)和豐段
2792,(1004)尚德段
2793,(1003)明德段
2794,(0482)泉州段
2795,(0440)海口段
2796,(0452)蚊港段
2797,(1133)蚊興段
2798,(1119)崙西段
2799,(1125)崙中段
2800,(1132)崙豐段
2801,(0486)普令厝段
2802,(1130)港西段
2803,(0451)新興段
2804,(0441)溪頂段
2805,(0487)萬厝段
2806,(1112)萬東段
2807,(1138)萬興段
2808,(0702)三和段
2809,(0613)下寮段
2810,(0703)山茂段
2811,(0625)中坑段
2812,(0627)中湖段
2813,(0622)五塊寮段
2814,(0680)仁德段
2815,(0610)元長段
2816,(0615)內寮段
2817,(0756)北湖段
2818,(0682)瓦磘段
2819,(0754)西湖段
2820,(0681)東庄段
2821,(0755)東湖段
2822,(0611)長南段
2823,(0626)長北段
2824,(0628)長興段
2825,(0704)青山段
2826,(0710)信義段
2827,(0612)客子厝段
2828,(0684)崙子段
2829,(0683)部子段
2830,(0614)頂寮段
2831,(0620)鹿寮段
2832,(0748)鹿南段
2833,(0749)鹿北段
2834,(0714)新吉段
2835,(0751)極明段
2836,(0750)義天段
2837,(0623)潭內段
2838,(0685)潭墘段
2839,(0624)興茂段
2840,(0617)龍岩厝段
2841,(0637)三條崙段
2842,(0638)三條崙段溪崙小段
2843,(0644)三崙段
2844,(0697)三姓段
2845,(0631)下寮段
2846,(0728)北安段
2847,(0629)四湖段
2848,(0725)四工段
2849,(0726)安慶段
2850,(0633)羊稠厝段
2851,(0742)西頂段
2852,(0765)西鹿段
2853,(0709)和平段
2854,(0694)東光段
2855,(0790)東海豐段
2856,(0643)林厝寮段
2857,(0731)保安段
2858,(0736)南光段
2859,(0696)建陽段
2860,(0741)建華段
2861,(0740)洋北段
2862,(0641)飛沙段飛沙小段
2863,(0698)飛湖段
2864,(0690)國中段
2865,(0763)頂鹿段
2866,(0695)魚寮段
2867,(0632)鹿場段
2868,(0688)湖東段
2869,(0768)順天段
2870,(0735)新興段
2871,(0791)新下寮段
2872,(0792)新蔡厝段
2873,(0634)溪底段
2874,(0635)溪尾段
2875,(0636)溪尾段新溪小段
2876,(0727)溪南段
2877,(0764)福安段
2878,(0738)廣溝段
2879,(0630)蔡厝段
2880,(0689)關聖段
2881,(0640)萡子寮段
2882,(0758)萡港段
2883,(0646)下崙段
2884,(0651)下湖口段
2885,(0645)口湖段
2886,(0724)口工段
2887,(0652)水井段
2888,(0650)牛尿港段
2889,(0743)北興段
2890,(0647)外埔段
2891,(0772)外傘頂段
2892,(0686)安南段
2893,(0687)安北段
2894,(0713)沙崙段
2895,(0766)拔拉段
2896,(0737)林投段
2897,(0655)後厝段
2898,(0711)埔北段
2899,(0712)埔潭段
2900,(0656)崇文段
2901,(0700)崙北段
2902,(0759)崙港段
2903,(0783)梧北段
2904,(0649)蚵寮段
2905,(0796)港北段
2906,(0692)開元段
2907,(0699)順寮段
2908,(0648)新港段
2909,(0657)新湖段
2910,(0795)新北興段
2911,(0654)謝厝寮段
2912,(0653)椬梧段
2913,(0732)椬北段
2914,(0668)9867子埔段
2915,(0659)土間厝段
2916,(0676)土厝段
2917,(0674)大山段
2918,(0691)大興段
2919,(0745)中興段
2920,(0770)天保段
2921,(0658)水林段
2922,(0677)水南段
2923,(0707)水北段
2924,(0747)水東段
2925,(0761)水中段
2926,(0773)牛埔段
2927,(0784)王厝段
2928,(0717)西井段
2929,(0734)西興段
2930,(0661)車巷口段
2931,(0706)東陽段
2932,(0733)東興段
2933,(0672)松北段
2934,(0752)松東段
2935,(0753)松西段
2936,(0744)南興段
2937,(0678)後寮段
2938,(0660)春牛埔段
2939,(0760)春埔段
2940,(0708)埔尾段
2941,(0767)海豐段
2942,(0762)都統段
2943,(0667)頂蔦松段
2944,(0675)順興段
2945,(0771)塭底段
2946,(0670)溪墘厝段
2947,(0701)溪墘段
2948,(0663)萬興段
2949,(0673)興南段
2950,(0669)蕃薯厝段
2951,(0671)蕃薯段
2952,(0705)燦林段
2953,(0789)豐德段
2954,(0769)瓊埔段
2955,(0716)蘇秦段
2956,(0729)灣東段
2957,(0730)灣西段
2958,(0143)八掌段
2959,(0087)下路頭段
2960,(0132)下埤段
2961,(0058)大溪厝段
2962,(0133)大溪段
2963,(0017)山下段
2964,(0009)中山段一小段
2965,(0010)中山段二小段
2966,(0011)中山段三小段
2967,(0012)中山段四小段
2968,(0013)中山段五小段
2969,(0014)中山段六小段
2970,(0015)中山段七小段
2971,(0115)中庄段
2972,(0140)仁義段
2973,(0078)元段一小段
2974,(0079)元段二小段
2975,(0080)元段三小段
2976,(0081)元段四小段
2977,(0082)元段五小段
2978,(0083)元段六小段
2979,(0084)元段七小段
2980,(0090)北門段一小段
2981,(0091)北門段二小段
2982,(0092)北門段三小段
2983,(0093)北門段四小段
2984,(0094)北門段五小段
2985,(0095)北門段六小段
2986,(0096)北門段七小段
2987,(0108)北社尾段
2988,(0109)北社尾段保安小段
2989,(0122)北園段
2990,(0123)北湖段
2991,(0018)台斗坑段
2992,(0051)末廣段一小段
2993,(0052)末廣段二小段
2994,(0053)末廣段三小段
2995,(0054)末廣段四小段
2996,(0055)末廣段五小段
2997,(0072)民族段一小段
2998,(0073)民族段二小段
2999,(0074)民族段三小段
3000,(0075)民族段四小段
3001,(0076)民族段五小段
3002,(0077)民族段六小段
3003,(0086)玉川段
3004,(0060)白川段
3005,(0117)同興段
3006,(0107)竹圍子段
3007,(0125)竹圍子段一小段
3008,(0126)竹圍子段二小段
3009,(0127)竹圍子段三小段
3010,(0128)竹圍子段中興小段
3011,(0129)竹圍子段友愛小段
3012,(0131)竹村段
3013,(0151)竹村段貨轉小段
3014,(0027)西門段一小段
3015,(0028)西門段二小段
3016,(0029)西門段三小段
3017,(0030)西門段四小段
3018,(0031)西門段五小段
3019,(0032)西門段六小段
3020,(0033)西門段七小段
3021,(0034)西門段八小段
3022,(0035)西門段九小段
3023,(0137)何庄段
3024,(0136)育人段
3025,(0056)車店段
3026,(0057)車店段車店小段
3027,(0001)東門段一小段
3028,(0002)東門段二小段
3029,(0003)東門段三小段
3030,(0004)東門段四小段
3031,(0005)東門段五小段
3032,(0006)東門段六小段
3033,(0007)東門段七小段
3034,(0008)東門段八小段
3035,(0024)東川段
3036,(0023)長竹段
3037,(0065)南門段一小段
3038,(0066)南門段二小段
3039,(0067)南門段三小段
3040,(0068)南門段四小段
3041,(0069)南門段五小段
3042,(0070)南門段六小段
3043,(0071)南門段七小段
3044,(0155)南田段
3045,(0154)宣信段
3046,(0113)後庄段
3047,(0111)軍輝段
3048,(0105)埤子頭段
3049,(0106)埤子頭段新厝小段
3050,(0112)崎頂段
3051,(0144)陳厝段
3052,(0114)頂庄段
3053,(0130)鳥岫段
3054,(0142)鹿寮段
3055,(0061)港子坪段
3056,(0124)港子坪段港坪小段
3057,(0088)湖子內段
3058,(0089)湖子內段湖內小段
3059,(0119)湖東段
3060,(0120)湖內段
3061,(0148)湖子內段興安小段
3062,(0149)湖子內段新民小段
3063,(0150)湖子內段湖美小段
3064,(0025)短竹段
3065,(0153)雲檜段
3066,(0059)黑金段
3067,(0043)新富段一小段
3068,(0044)新富段二小段
3069,(0045)新富段三小段
3070,(0046)新富段四小段
3071,(0047)新富段五小段
3072,(0048)新富段六小段
3073,(0049)新富段七小段
3074,(0050)新富段八小段
3075,(0121)新厝段
3076,(0152)新太平段
3077,(0134)溪厝段
3078,(0135)溪東段
3079,(0036)榮段一小段
3080,(0037)榮段二小段
3081,(0038)榮段三小段
3082,(0039)榮段四小段
3083,(0040)榮段五小段
3084,(0041)榮段六小段
3085,(0042)榮段七小段
3086,(0118)遠東段
3087,(0063)劉厝段
3088,(0064)劉厝段劉厝小段
3089,(0145)劉厝段玉山小段
3090,(0019)盧厝段
3091,(0139)盧東段
3092,(0110)興村段
3093,(0147)興村段興村小段
3094,(0138)頭港段
3095,(0022)彌陀段
3096,(0146)彌陀段日新小段
3097,(0097)檜段一小段
3098,(0098)檜段二小段
3099,(0099)檜段三小段
3100,(0100)檜段四小段
3101,(0101)檜段五小段
3102,(0102)檜段六小段
3103,(0103)檜段七小段
3104,(0141)蘭潭段
3105,(0116)荖藤段
3106,(0201)下竹圍段
3107,(0202)下竹圍段竹圍小段
3108,(0387)下竹圍段佳禾小段
3109,(0203)大槺榔段
3110,(0204)大槺榔段大鄉小段
3111,(0205)大槺榔段大葛小段
3112,(0388)大槺榔段大溝小段
3113,(1443)大德興段
3114,(1449)大鄉段
3115,(1450)大葛段
3116,(0207)小槺榔段仁和小段
3117,(0208)小槺榔段槺榔小段
3118,(0352)中正段
3119,(1445)仁和段
3120,(0349)內厝段
3121,(0350)文明段
3122,(0354)文化段
3123,(0223)牛挑灣段
3124,(0224)牛挑灣段松梅小段
3125,(0225)牛挑灣段松華小段
3126,(0353)平和段
3127,(0357)永和段
3128,(0351)安福段
3129,(0348)朴工段
3130,(0216)吳竹子腳段
3131,(0217)吳竹子腳段德家小段
3132,(0226)南勢竹段
3133,(0227)南勢竹段南竹小段
3134,(0212)崁前段
3135,(0362)崁前段崁前小段
3136,(0363)崁後段南崁小段
3137,(0364)崁後段北崁小段
3138,(0218)新庄段
3139,(0219)新庄段新庄小段
3140,(0220)新庄段農牧小段
3141,(0221)新庄段重劃小段
3142,(0390)新庄段大館小段
3143,(1406)新寮段
3144,(1461)新庄新段
3145,(1444)溪口段
3146,(0397)嘉朴段
3147,(0358)德安段
3148,(0214)鴨母寮段
3149,(0215)鴨母寮段竹村小段
3150,(0389)鴨母寮段東安小段
3151,(0222)龜子港段
3152,(0365)龜子港段順安小段
3153,(0355)鎮安段
3154,(0356)鎮南段
3155,(0210)雙溪口段雙溪小段
3156,(0211)𧃽菜埔段
3157,(0366)𧃽菜埔段永和小段
3158,(1430)九江段
3159,(1442)上江山段
3160,(1401)中興段
3161,(0229)內田段
3162,(1431)布鹽段
3163,(1403)永安段
3164,(1441)江山段
3165,(0230)考試潭段
3166,(0369)考試潭段考試小段
3167,(1410)考試潭段鹿寮小段
3168,(1416)考試潭段鹿安小段
3169,(1400)見龍段
3170,(1440)東岑段
3171,(1435)保安宮段
3172,(1405)建興段
3173,(1434)振寮段
3174,(0232)崩山段
3175,(0370)崩山段崩山小段
3176,(1433)鹿寮段
3177,(1429)復興段
3178,(1402)景山段
3179,(0233)菜舖廍段
3180,(0234)菜舖廍段菜舖廍小段
3181,(0367)菜舖廍段新吉小段
3182,(0237)貴舍段
3183,(1408)貴舍段貴舍小段
3184,(1417)貴舍段半月小段
3185,(0240)新塭段
3186,(0386)新生段
3187,(0399)新厝段
3188,(1428)新塭段好美小段
3189,(1437)新南段
3190,(1438)新民段
3191,(0239)溪墘段
3192,(0368)溪墘段溪墘小段
3193,(1409)過溝段過溝小段
3194,(1454)過溝新段
3195,(1436)嘉塭段
3196,(0235)樹林頭段
3197,(0236)樹林頭段樹林小段
3198,(1407)樹林頭段林頭小段
3199,(1432)龍江段
3200,(1439)魍港段
3201,(0421)三角段
3202,(0422)三角段三角小段
3203,(0417)下埤頭段
3204,(0418)下埤頭段下埤頭小段
3205,(0406)大湖段
3206,(0407)大湖段湖北小段
3207,(0409)大埔美段過溪小段
3208,(0410)大埔美段大美小段
3209,(0619)大工一段
3210,(0630)大工二段
3211,(0403)中林段
3212,(0404)中林段中林小段
3213,(0415)中坑段 
3214,(0416)中坑段中坑小段
3215,(0603)中興段
3216,(0425)內林段
3217,(0426)內林段內林小段
3218,(0610)水頭段
3219,(0432)北勢段
3220,(0433)北勢段北勢小段
3221,(0574)平林段
3222,(0411)甘蔗崙段
3223,(0412)甘蔗崙段甘蔗崙小段
3224,(0602)田寮段
3225,(0573)吉林段
3226,(0600)米斗段
3227,(0570)西林段
3228,(0621)西結段
3229,(0575)明和段
3230,(0576)明華段
3231,(0599)明和段明和小段
3232,(0571)東林段
3233,(0413)林子前段
3234,(0414)林子前段三和小段
3235,(0430)林頭段
3236,(0431)林頭段林頭小段
3237,(0601)香山段
3238,(0419)排子路段
3239,(0420)排子路段排子路小段
3240,(0405)頂員林段
3241,(0429)湖子段
3242,(0572)新興段
3243,(0595)新興段新興小段
3244,(0620)新大埔美段
3245,(0423)溝背段
3246,(0424)溝背段溝背小段
3247,(0401)潭底段
3248,(0402)潭底段潭底小段
3249,(0427)橋子頭段
3250,(0428)橋子頭段橋子頭小段
3251,(0459)大崎腳段
3252,(0460)大崎腳段大崎腳小段
3253,(0604)大坑段
3254,(0623)大崎段
3255,(0474)山中段
3256,(0567)中樂段
3257,(0631)中菁段
3258,(0632)中央段
3259,(0608)五穀王段
3260,(0444)牛斗山段
3261,(0448)牛稠溪段
3262,(0607)牛頭崙段
3263,(0589)世興段
3264,(0581)北斗段
3265,(0434)民雄段
3266,(0475)民工段
3267,(0566)民南段
3268,(0568)民北段
3269,(0583)民文段
3270,(0611)民農段
3271,(0612)民興段
3272,(0446)田中央段
3273,(0447)田中央段田中央小段
3274,(0452)好收段好收小段
3275,(0453)好收段竹圍後小段
3276,(0445)江厝店段
3277,(0577)江厝店段興中小段
3278,(0472)竹子腳段
3279,(0473)竹子脚段竹子脚小段
3280,(0580)竹子腳段西昌小段
3281,(0569)西安段
3282,(0622)秀林段
3283,(0435)東勢湖段
3284,(0565)東榮段
3285,(0605)東興段
3286,(0617)東湖段
3287,(0466)林子尾段重建小段
3288,(0461)松子腳段
3289,(0462)松子腳段松腳小段
3290,(0588)金興段
3291,(0564)建國段
3292,(0606)後山仔段
3293,(0451)崙子頂段
3294,(0463)陳厝寮段
3295,(0464)陳厝寮段三興小段
3296,(0454)頂寮段
3297,(0455)頂寮段頂寮小段
3298,(0594)頂寮段中廣小段
3299,(0436)番子段
3300,(0437)番子段番子小段
3301,(0440)菁埔段菁埔小段
3302,(0441)菁埔段社溝小段
3303,(0442)菁埔段菁埤小段
3304,(0443)菁埔段中和小段
3305,(0470)塗樓段
3306,(0456)新庄子段
3307,(0624)新庄段
3308,(0585)義興段
3309,(0467)葉子寮段
3310,(0582)福安段
3311,(0584)福南段
3312,(0586)福樂段
3313,(0613)福興段
3314,(0587)興南段
3315,(0457)頭橋段
3316,(0458)頭橋段工業小段
3317,(0449)鴨母坔段鴨母坔小段
3318,(0450)鴨母坔段雙福小段
3319,(0578)鴨母坔段文隆小段
3320,(0618)豐收段
3321,(0438)雙援段
3322,(0439)雙援段何厝小段
3323,(0498)三疊溪段
3324,(0499)三疊溪段疊溪小段
3325,(0486)上崙段
3326,(0487)上崙段妙崙小段
3327,(0591)上崙段柳二小段
3328,(0495)本廳段
3329,(0496)本廳段本厝小段
3330,(0497)本廳段本廳小段
3331,(0598)坪頂段
3332,(0489)柳子溝段
3333,(0490)柳子溝段柳溝小段
3334,(0491)柳子溝段南靖厝小段
3335,(0592)柳子溝段柳一小段
3336,(0492)厝子段
3337,(0493)厝子段厝子小段
3338,(0494)厝子段下厝小段
3339,(0500)柴林脚段
3340,(0501)柴林脚段柴林小段
3341,(0481)崙尾段崙尾小段
3342,(0482)崙尾段天赦小段
3343,(0483)崙尾段美南小段
3344,(0484)崙尾段美北小段
3345,(0485)崙尾段美東小段
3346,(0479)頂坪段
3347,(0480)頂坪段下坪小段
3348,(0488)游厝段
3349,(0557)游厝段游東小段
3350,(0558)游厝段游西小段
3351,(0476)溪口段
3352,(0477)溪口段溪口小段
3353,(0478)溪口段溪明小段
3354,(0590)溪口段後港小段
3355,(0596)溪東段
3356,(0597)溪西段
3357,(0633)疊溪段
3358,(0515)三間厝段
3359,(0519)大崙段
3360,(0520)大崙段大崙小段
3361,(0530)大潭段
3362,(0531)大潭段大潭小段
3363,(0532)大潭段北潭小段
3364,(0554)大客段
3365,(0555)大客段頂客小段
3366,(0556)大客段大客小段
3367,(0579)大潭段精忠小段
3368,(0512)中洋子段
3369,(0514)中洋子段中洋小段
3370,(0593)中工段
3371,(0615)六興段
3372,(0563)公園段
3373,(0548)月眉潭段
3374,(0549)月眉潭段月眉小段
3375,(0550)月眉潭段月潭小段
3376,(0551)月眉潭段眉潭小段
3377,(0629)水仙段
3378,(0540)古民段古民小段
3379,(0541)古民段新民小段
3380,(0542)古民段中庄小段
3381,(0559)永祿段
3382,(0560)永福段
3383,(0526)西庄段
3384,(0527)西庄段西庄小段
3385,(0529)板頭厝段板頭小段
3386,(0628)板頭段
3387,(0508)後庄段後庄小段
3388,(0517)後底湖段
3389,(0518)後底湖段後底湖小段
3390,(0546)海豐子段
3391,(0547)海豐子段海豐小段
3392,(0524)埤子頭段埤子頭小段
3393,(0525)埤子頭段埤子小段
3394,(0533)埤頭段埤頭小段
3395,(0534)埤頭段共和小段
3396,(0535)埤頭段菜園小段
3397,(0626)埤子段
3398,(0522)崙子段崙子小段
3399,(0625)復興段
3400,(0561)港東段
3401,(0562)港西段
3402,(0536)番婆段
3403,(0537)番婆段安和小段
3404,(0509)菜公厝段
3405,(0510)菜公厝段菜公小段
3406,(0511)菜公厝段咬竹小段
3407,(0502)新港段
3408,(0503)新港段福德小段
3409,(0504)新港段宮前小段
3410,(0505)新港段宮後小段
3411,(0506)新港段大興小段
3412,(0609)新東段
3413,(0614)新月眉潭段
3414,(0627)新後庄段
3415,(0538)溪北段
3416,(0539)溪北段溪北小段
3417,(0543)潭子墘段
3418,(0544)潭子墘段潭大小段
3419,(0616)潭大段
3420,(0553)舊南港段南港小段
3421,(0265)三姓寮段
3422,(0266)三姓寮段三姓小段
3423,(0267)三姓寮段三義小段
3424,(0256)下雙溪段
3425,(0257)下雙溪段兩溪小段
3426,(0263)大塗師段
3427,(0264)大塗師段塗師小段
3428,(1451)大橋頭段
3429,(1423)中庄段
3430,(0241)六腳段
3431,(0242)六腳段六南小段
3432,(0244)六腳段六嘉小段
3433,(0276)六斗尾段六斗小段
3434,(1424)六興段
