說明,文章編號,永久連結,貼文訊息,類型,國家／地區,語言,已發佈,廣告受眾目標設定,like,comment,share
,127628276929_10157242661556930,https://www.facebook.com/cwgroup/posts/10157242661556930,◤蔣勳：只有了解不幸，才能知道幸福◢ Ｑ：對你來說幸福是什麼呢？ 　 回顧蔣勳為《天下》寫的一首名為《幸福》的詩， 聽他朗頌，似乎就懂得，回到幸福的初衷... --- 聽見你說幸福是… 躺在公園的草地上，曬一個下午的太陽。 　 聽見你說幸福是… 握著愛人的手，看著愛人臉上的微笑， 一整天不言不語。 　 聽見你說，今天清晨散步吹著溫暖的南風 木棉花從高高的樹枝上掉落。 　 聽見你說，母親的身體慢慢失去了體溫 原來，所有的擁抱都不會是永遠的擁抱… --- 訂閱天下雜誌youtube，看盡天下事： >>https://bit.ly/3gR6jCc 　 #天下雜誌video,Video,,,10/28/20, ,80,1,10
,127628276929_10157241240316930,https://www.facebook.com/cwgroup/posts/10157241240316930,【風光50年　湯姆漢克斯的36秒職涯建言】  你「可以」做某件事，並不代表那件事可以「滿足和充實」你。  如果你無法開開心心地和別人談自己的工作，那麼你每天花8小時做的事，很可能都是在滿足別人，而不是你自己。,Link,,,10/28/20, ,650,12,141
,127628276929_10157242731571930,https://www.facebook.com/cwgroup/posts/10157242731571930,#夜間輕讀【找到一件真心熱愛的事，用一輩子去投入】  父親是教授，母親是作家，揹著研究所的高學歷，張鈞甯的成長歷程，有如升學體制下孩子們的縮影。這些年，她一步步打破框架，從一個害羞聽話的女孩，蛻變成觸動觀眾內心的實力派演員。  回顧這段歲月，她說，「不要害怕做了選擇會失去，只要選擇了以後對自己負責，走過的路都不會白走。」,Link,,,10/28/20, ,689,8,123
,127628276929_10157242602486930,https://www.facebook.com/cwgroup/posts/10157242602486930,【做到心理斷捨離，暖心人生３步驟】  在家庭、工作、人際關係間擺盪的我們，常把穩定的那一面留在職場，不穩定的情緒帶回家，因此造成和家人溝通時的兩敗俱傷。唯有平衡自己，不再過度擺盪、等待別人評價自己，才能真正得到內心的平靜。  練習「統整」自己， 坦然面對黑暗，該怎麼做呢？  - 📣【訂閱頻道看更多】升級《天下》LINE，即可免費訂閱頻道，掌握健康醫療知識零時差 立即前往>> https://maac.io/1ffCR,Link,,,10/28/20, ,10,1,2
,127628276929_10157241414631930,https://www.facebook.com/cwgroup/posts/10157241414631930,【佛系理財施昇輝：我只買了三張保單】  人身保險不外乎就是三大類，如果都有了，就打定主意別再被保險公司那些琳瑯滿目的商品誘惑了～,Link,,,10/28/20, ,61,3,14
,127628276929_10157242781386930,https://www.facebook.com/cwgroup/posts/10157242781386930,#國際視窗【拜登、川普誰選上，對股市最有利？】 　 美股的漲跌，時常影響台股的走向，如果最終是拜登獲勝，股市會往上還往下走呢？換成川普連任的話，又會有什麼不同？ 　 什麼樣的投資方組合，不管誰當選都穩妥當？選前股市震盪難免，但專家也指出，最怕出現第三種劇本，對全球股市最不利…⬇️⬇️   #美國大選倒數6天  - 🔥不斷更新》美國總統大選動態　一次看搖擺州誰領先 >> https://bit.ly/2Ht6p64,Link,,,10/28/20, ,16,1,1
,127628276929_10157242713901930,https://www.facebook.com/cwgroup/posts/10157242713901930,#Off學【台東景點｜預約式部落深度旅遊】  太麻里的新香蘭部落，有撒可努創辦的獵人學校，帶人到大自然，在黑暗裡過一兩個晚上，學會勇敢，體會與大自然心靈互動。  「當原住民朋友賜給你一個名字，代表的是一種接納、一種認同。」走一趟台東，與大山大海面對面，卸下繁忙的心，找回生活的節奏......  --------------------------------------------- 【給最懂生活的你，歡迎訂閱 Off學電子報】 https://bit.ly/2X9AYSK,Link,,,10/28/20, ,502,10,69
,127628276929_10157242575531930,https://www.facebook.com/cwgroup/posts/10157242575531930,【教宗方濟各：疫情，讓我們走向更不公平的社會】 　 在疫情重災區的美國，聯準會砸下3兆資金救經濟，激勵華爾街股市出現報復性反彈，富人財富在疫情中不減反增。 　 但同時，數以千萬計的人正失去他們的工作。社會底層受到最大的打擊，被病毒感染機率也最高，他們沒有選擇居家辦公的自由。 　 當疫情證明資本主義已經失效，教宗方濟各提出了諫言……  - 🔥更多精彩內容，請看最新出刊 《不能只有台積電》>> https://bit.ly/31lrYNn,Link,,,10/28/20, ,114,27,6
,127628276929_10157242579251930,https://www.facebook.com/cwgroup/posts/10157242579251930,◤與職棒挺過30年風雨  MIT手套是他對棒球堅持◢ #這條路再辛苦我也有責任走下去—張順進 師傅 　 致力於MIT棒球手套品牌的張順進師傅， 有鑑於台灣早年都只能向日本採購昂貴的球具， 因此他從職棒二年開始 便一頭栽入自製台灣棒球手套。 　 一手撐起台灣棒球手套研發製程的張師傅 曾被 #美津濃 相中邀請成為代工廠商， 但張師傅卻一口回絕，堅持經營 #MIT品牌。 　 張順進不忘初心 堅持讓想打棒球的小孩都有機會用好手套； 讓每個台灣旅外球員都能用家鄉的好手套， 讓台灣的國球能在世界發光， 與職棒一起挺過30年風雨！ 　 讓我們一起看看張師傅與職棒的故事👉 --- 訂閱天下雜誌youtube，看盡天下事： >>https://bit.ly/3gR6jCc 　 影片授權：中華文化總會　 #天下雜誌video,Video,,,10/28/20, ,81,6,9
,127628276929_10157242673156930,https://www.facebook.com/cwgroup/posts/10157242673156930,【放棄金牌保送資格　她改走自己喜歡的路，不後悔！】 　 國三時，李佳玲拿下全市美髮技藝競賽第一名，父親希望她往美髮發展。但對美髮沒有興趣的李佳玲，選擇了多媒體設計科。 　 上高中後，在老師的推薦下，李佳玲投入了油漆裝潢選手培訓。一晃眼，三年的苦練開花結果，磨出了 #全國技職金牌，但她卻決定在巔峰時，為油漆裝潢這條路畫下句點。因為，她有更想做的事情：遊戲設計。 　 從美髮、油漆裝潢到遊戲設計，李佳玲認為，所有的努力、探索都不曾白費。她是如何不斷跨界、找尋自己真正的興趣呢？  - 📌108課綱上路一周年你了解多少? 重點整理回顧>> https://bit.ly/34zWfZE  🔥搶先預購2020教育特刊>> https://bit.ly/30A3wra,Link,,,10/28/20, ,70,1,3
,127628276929_10157242530381930,https://www.facebook.com/cwgroup/posts/10157242530381930,【你聽過「留任測試」嗎？】  在Netflix，你可能無比認真，付出最大努力，貢獻了所有能力，希望幫助公司成功，產出好的成果，某一天走進公司卻發現，砰⋯⋯你失業了。  解雇盡了最大努力只是未能交出漂亮成績的員工，背後的管理策略是什麼？  ▌升級《天下》LINE，自選頻道訂閱、打造你的專屬頭條 https://maac.io/1ffCR,Link,,,10/28/20, ,37,4,16
,127628276929_10157242632031930,https://www.facebook.com/cwgroup/posts/10157242632031930,【被學校生活壓迫到想自殺　唐鳳的童年不總是美好】  國小時期，唐鳳在學校的資優班當班長，功課很好。曾經有一位拿不到第一名就會被爸爸打的同學，憤憤不平地對他說：「你為什麼不死掉？如果你死了，我就是最好的了。」  甚至在學校遭到同學拳腳相向，後來，他跟媽媽說：「我不要去上學。」唐鳳的父母如何陪著他一路走來。,Link,,,10/28/20, ,4425,188,314
,127628276929_10157242665686930,https://www.facebook.com/cwgroup/posts/10157242665686930,【口音到底是什麼？】#新住民第二代 　 我媽牽著我走進一間台灣人開的、裝潢頗新的美容院，想要接睫毛。接待小姐看我長得跟媽媽完全不像，媽媽說話又「不像台灣人」，就壓著聲音問我：「妹妹，你告訴我，她是你媽媽嗎？」 　 因為說話有口音，媽媽同時被瞧不起窮、被看不起沒知識，還要被懷疑拐走別人家的女兒。 　 在美國讀書時，作者的教授告訴他千萬別為了英文不好而道歉；但作者會說五種語言的母親，卻因為口音在台灣遭遇麻煩。該不該讓我們對口音的印象，影響到我們對一個人的看法？身為新二代的作者深有感觸→,Link,,,10/28/20, ,198,20,13
,127628276929_10157242600116930,https://www.facebook.com/cwgroup/posts/10157242600116930,【開放英語教學，為何幼教圈這麼反對？】  在一般民眾眼中，幼教老師們對政府打算修法解除雙語教育限制的反應這麼大，或許有點不能理解。「啊不是大家都在教？早點學英語不好嗎？」  問題是，幼兒教育並不只是小學一年級的先修班。教英文不是只要會說「Hello」、「I love you」或指著恐龍念dinosaur，教育幼兒也不是只要陪孩子玩或盯他們寫練習簿就合格。一位幼教老師強調：,Link,,,10/28/20, ,33,,4
,127628276929_10157240566541930,https://www.facebook.com/cwgroup/posts/10157240566541930,【白板上，小女孩的畫：黑線不斷繞圈，回家的路好遠…】  小祺是由門診的主治醫師轉介來做心理治療的，她被轉介來的原因是：被娃娃車的司機性侵長達五個月。  每當有自由創作媒材，像是畫畫、黏土、剪貼時，小祺就會不自覺地選擇「#司機伯伯」或「#回家的長長的路」這兩個主題。  「你想要做什麼呢？」心理師一邊捏著黏土，一邊問小祺。「我要做司機伯伯。」小祺專注地捏著，很快就用藍色的黏土捏出一個人形，然後到玩具櫃挑了一把塑膠刀。「你想要把司機伯伯怎麼樣呢？」心理師問她。小祺開始拿刀子切割人形，起先輕輕地切，到後來越來越激烈……,Link,,,10/28/20, ,55,,5
,127628276929_10157242661706930,https://www.facebook.com/cwgroup/posts/10157242661706930,【散發古靈精怪氣質女孩黃郁涵談起太陽能，眼睛閃爍太陽般熱情光芒】CSR在天下  10月28日舉辦的「地球的新聲－逆轉氣候危機的青世代」國際青年論壇，「CSR@天下」邀請2019年全國能源模擬會議的負責人黃郁涵開場演講。 高中畢業就休學一年投入太陽能產業，年僅18歲就進入太陽能產業工作，還舉辦了一場全國能源模擬會議，用年輕世代的方式，促進大眾理性討論再生能源的議題。  「我從小就對太陽能特別有興趣，就，我覺得太陽的熱能，可以轉化成電，電又可以變成冷氣，這很酷！」烏黑的長髮、笑起來像韓星全智賢，散發著古靈精怪氣質的黃郁涵談起熱愛的太陽能便激動不已，眼睛裡也閃爍著如太陽般熱情的光芒。  但黃郁涵究竟有什麼本事，讓天泰能源董事長陳坤宏願意給他一個機會，進入天泰實習、擔任專案助理？  #CSR #CSR天下 #企業社會責任 #U20國際青年論壇 #太陽能 #黃郁涵 #再生能源 #天泰能源 #陳坤宏 #氣候變遷,Link,,,10/28/20, ,138,3,14
,127628276929_10157240560191930,https://www.facebook.com/cwgroup/posts/10157240560191930,#廣編企劃【投資新標的！金門高粱酒將開啟嶄新投資模式】  投資標的百百種，但其中都還是有風險成分，存放在銀行雖然相對安全可靠，但較低的利率也導致投資報酬率不高。經過「金門高粱酒12公升典藏珍品雙金紀念酒」三年來的市場觀察，在不久的將來金門酒廠所推出的「儲酒銀行」，或許會是個不錯的新興投資管道。  #金門 #高粱酒 #儲酒銀行 #投資標的 #12公升典藏珍品雙金紀念酒,Link,,,10/28/20, ,29,1,5
,127628276929_10157242599431930,https://www.facebook.com/cwgroup/posts/10157242599431930,【智慧醫療．重磅專訪 #2】 台北醫學大學附設醫院 院長陳瑞杰  未來城市FutureCity 全新系列專題 ：六大醫院院長的智慧醫療藍圖  出身外科的教學醫院院長不少，懂科技的醫院管理者卻不多，台北醫學大學附設醫院院長陳瑞杰是其中之一。  其他院長是參加醫療研討會，陳瑞杰卻跑區塊鏈黑客松；其他院長是上人工智慧課，陳瑞杰卻是去講課。  甚至在多數人還沒聽過「人工智慧」的90年代，陳瑞杰就考進北醫醫學資訊研究所，這是亞洲第一所醫學資訊研究所。  在此之前，陳瑞杰已在長庚醫院外傷重症中心近20年。風光的外科醫師，為什麼還要考資訊研究所？  2010年，他接手北醫管理發展中心主任，對準北醫、萬芳、雙和三院的財務整合，快速下刀：每天早上6點20分產出前一日報表、每月準時發薪，每年再抓一億元盈餘投資訊系統。  接任北醫院長後，陳瑞杰順勢加碼病患服務系統，例如，裁撤出院櫃台並改為病房內連線結帳、病歷摘要上區塊鏈方便病患申請、在瞬息萬變的加護病房導入AI預測系統⋯⋯，連 杜奕瑾 （Ethan Tu） 的 台灣人工智慧實驗室，都與北醫合作敗血病偵測。  一時間，科技服務看似百花齊放，其實是蹲馬步十年，逐筆結構化數位資料的成果。  一個拿手術刀的醫師，如何劃開北醫的智慧未來？  　 專題製作／陳芳毓、許鈺屏、高偉倫、阮怡婷、李鈺淇 2020-10-22  #未來城市 #智慧城市 #智慧醫療 #我們的未來醫生 #5G #AI #區塊鏈 #台北醫學大學附設醫院 #北醫 #陳瑞杰 #零接觸醫療,Link,,,10/28/20, ,56,7,4
,127628276929_10157240285691930,https://www.facebook.com/cwgroup/posts/10157240285691930,【直擊教育現場－藝術融入數學怎麼教？】  大直高中的郭曉蘋老師，用藝術包裝數學，讓孩子知道數學跟藝術其實相同，也生活化，並不那麼艱難。然而這樣的跨領域教學正是108課綱所強調的素養教育，108課綱對於學生真的好嗎？學生又有什麼感受呢？聽聽學生怎麼說>>  👉觀看完整影片：https://bit.ly/34wpPjR 👉深入了解108課綱：https://bit.ly/34tYH4M  #108課綱 #素養教育 #2020天下教育特刊 #11月正式出刊 #現正預購中,Link,,,10/28/20, ,9,1,2
,127628276929_10157241230561930,https://www.facebook.com/cwgroup/posts/10157241230561930,【賣不出去的衣服，都跑去哪裡了？】  不論是精品服飾或成衣都會滯銷，那你有沒有想過，這些沒賣掉的衣服都到哪裡去了？,Link,,,10/27/20, ,215,6,76
,127628276929_10157242424316930,https://www.facebook.com/cwgroup/posts/10157242424316930,【舊停屍間、廢棄礦村、地下停車場都能搖身一變，成為當地最有特色的書店】 　 24小時書店「誠品敦南店」曾是台灣最具特色的書店之一，不只是台北人的閱讀基地，也是外國人來台旅遊指名走逛、認識這座城市文化的指標景點。  除了誠品書店，世界各個城市中其實還有這些必逛的經典書店，它們有哪些特別之處？,Link,,,10/27/20, ,27,3,11
,127628276929_10157242449521930,https://www.facebook.com/cwgroup/posts/10157242449521930,【忽略這件事，再怎麼運動也瘦不了】  運動是健康管理的最有力方式，可以避免心臟疾病、中風、代謝症候群甚至癌症。但如果是想靠運動減重，那你真的想太美了。  專業運動教練提出，想減重不能只靠運動的兩大原因：,Link,,,10/27/20, ,99,10,27
,127628276929_10157242331746930,https://www.facebook.com/cwgroup/posts/10157242331746930,【受中國資訊戰影響最深的是哪些人？】  假訊息對台灣的威脅，即使選舉結束仍未減少。從2018年開始至今，中國對台發動資訊戰的模式不斷改變，從一開始的PTT、臉書、Line、YouTube，如今更進一步滲透到網紅、直播主，從小孩到年輕人都是可能影響對象，台灣社會該如何因應？  ▌升級《天下》LINE，自選頻道訂閱、打造你的專屬頭條 https://maac.io/1ffCR,Link,,,10/27/20, ,44,5,5
,127628276929_10157240557721930,https://www.facebook.com/cwgroup/posts/10157240557721930,#廣編企劃【美光如何打造幸福職場？】  因應時代變局帶來的搶才挑戰，美光科技自有一套心法──推動開放性的育才策略。「來自不同背景的人才能催生多元想法，激盪出職場新火花！」美光科技北亞區人力資源策略夥伴處長劉素齡說，「因應人才自由流動的趨勢，美光以多元、平等和包容的『DEI文化』，打造讓人才願意留下的職場環境。」  立即看美光的五大育才策略👉  #美光 #幸福職場 #人才 #育才,Link,,,10/27/20, ,48,1,3
,127628276929_10157242225746930,https://www.facebook.com/cwgroup/posts/10157242225746930,【地表最強IPO螞蟻金服上市，不得不面對的兩大挑戰】  擁10億用戶的螞蟻金服週一在上海證交所A股及香港交易所的發行價，超越沙烏地阿拉伯國家石油公司，成為史上規模最大的IPO。使得螞蟻集團的最大股東馬雲身價飆高，成為全球排名第11的巨富商人。  風光上市背後，卻可能面臨金融科技的兩大風險。  🔥更多精彩內容，請看《不能只有台積電》 https://bit.ly/31lrYNn,Link,,,10/27/20, ,46,,4
,127628276929_10157242268171930,https://www.facebook.com/cwgroup/posts/10157242268171930,【這些求職大忌千萬別犯了！】  「沒想到，我這個人事部主任也會栽在虛假履歷上。可是，這樣的履歷又讓人如何去防呢？」當履歷作假成為一種風氣，公司還有誰敢信履歷？  🔥立即訂閱「天下每日報」，每日晨間發送，編輯精選10則最重要新聞，加值享受語音朗讀>>https://bit.ly/38Vwl3p,Link,,,10/27/20, ,38,9,23
,127628276929_10157240556931930,https://www.facebook.com/cwgroup/posts/10157240556931930,【暢銷書任選優惠，倒數最後三天！】  天下雜誌10期+年度10大暢銷書任選 優惠價只要990元！  把握機會，立即訂閱！>>https://bit.ly/35GsWou,Photo,,,10/27/20, ,5,1,
,127628276929_10157242128251930,https://www.facebook.com/cwgroup/posts/10157242128251930,【天團BTS同時是經紀公司最大弱點】  韓國男團BTS除了攻佔全球粉絲的心，也進軍股票市場！經紀公司Big Hit本月上市，多家機構投資人搶著買入。堪稱是南韓這三年以來最大的IPO，但是第一天的交易高點一過，便開始走下坡…  👉免費訂閱《天下電子報》，每日關鍵新聞不漏接 >> https://bit.ly/3gezkXB,Link,,,10/27/20, ,10,1,
,127628276929_10157240389626930,https://www.facebook.com/cwgroup/posts/10157240389626930,"【多頭格局尚未改變　金價未來半年上看2,400美元】  國際金價收穩1900美元，而黃金價格在此區間已持續許久，很多人擔心已經很高金價會撐不住，黃金後市會怎麼走？",Link,,,10/27/20, ,13,3,3
,127628276929_10157241474921930,https://www.facebook.com/cwgroup/posts/10157241474921930,#企業突圍【所謂領導者，應該正念、無私與同情】 　 今日的我們，似乎活在一個更不快樂的世界。焦慮和憂鬱的比例高於過往；富人與窮人的差距處於歷史高點；對利潤的追求壓過對人、對環境和社會的投入。達賴喇嘛認為，面對這樣的困境，領導者應該更關注內在價值。 　 「任何領域的領導者，都會大大影響民眾的生活與世界的發展。我們應該記得，我們是這顆星球的訪客，最多只會在這裡待上90或100年。在這段時間裡，我們應該努力讓世界變得更加美好。」 　 - 🔥訂閱「#企業突圍電子報」，立即掌握最新產業趨勢、經營管理心法 >> https://bit.ly/2LnMp3F,Link,,,10/27/20, ,1535,54,169
,127628276929_10157241786831930,https://www.facebook.com/cwgroup/posts/10157241786831930,#今日熱文【台積電需求強勁，日商湧入台灣舊石化廠】 　 日本德山、信越、三菱瓦斯化學等日商，最近紛紛宣布來台投資，連大社石化工業區的舊廠也吸引了他們目光。 　 原來是台灣晶圓代工的商機實在太大，光一家工廠就要準備500多輛化學槽車，才能確保萬無一失。這快速成長的商機，恐怕也會改變台灣的高速公路面貌...... 　 【加入《天下》Telegram ，每日早晨直送國內外重要新聞】 點擊連結👉 http://t.me/cwmagazine,Link,,,10/27/20, ,7986,196,443
,127628276929_10157241220436930,https://www.facebook.com/cwgroup/posts/10157241220436930,【跟著富豪投資】  《天下雜誌》專訪洛克菲勒、瑞銀、匯豐、富邦、台新等五家專門幫富有人士理財的私人銀行，看看他們都把錢放在哪裡。,Link,,,10/27/20, ,12,,
,127628276929_10157241864541930,https://www.facebook.com/cwgroup/posts/10157241864541930,＃天下晨間新聞　  半導體業再添收購案，超微宣布收購賽靈思，積極挑戰英特爾地位。,Link,,,10/27/20, ,317,2,19
,127628276929_10157238516711930,https://www.facebook.com/cwgroup/posts/10157238516711930,【如果懶得打扮了　真的要注意】  「日本最懂情緒的精神科醫生」和田秀樹說，一般人都以為，老化就明顯的跡象是智力或體力的下滑，但其實並非如此。他說，比「健忘」還可怕的是「感情變化」，這樣的人開始不重視外表，很多以往在乎的事，開始用「沒差啊」來應對。如果你也有這樣的態度，要注意了，小心看起來比實際年齡還老。,Link,,,10/27/20, ,83,4,12
,127628276929_10157238513636930,https://www.facebook.com/cwgroup/posts/10157238513636930,【流感不要找上我！10個必看A型流感Q&A】  今年寒流接續來襲，天氣忽冷忽熱，近期A型流感H1N1病毒發威，佔了就診求醫人數八成，各大醫院自春節以來就人滿為患。以下整理十大流感Q&A，除了更認識流感外，也教你如何預防：,Link,,,10/27/20, ,22,,4
,127628276929_10157240781716930,https://www.facebook.com/cwgroup/posts/10157240781716930,◤賣清潔劑起家 金車如何做出世界級啤酒？◢ 今年奪得世界最佳老啤酒的金車柏克金 竟是以清潔劑起家？！ 　 早年從賣清潔劑、洗碗精起家的金車集團 其實一直有個啤酒夢， 他們在1995年購入酒廠後， 卻因為當時未開放民營釀酒而停擺... 　 經過漫長的努力後， 金車不僅實現了啤酒夢 還奪得世界最佳老啤酒的殊榮！ 　 讓我們來回顧兩年前 金車剛在桃園設廠時的獨家專訪👉 --- 訂閱天下雜誌youtube，看盡天下事： >>https://bit.ly/3gR6jCc 　 #天下雜誌video,Video,,,10/27/20, ,94,1,11
,127628276929_10157239418296930,https://www.facebook.com/cwgroup/posts/10157239418296930,【測量你的憂鬱指數】  你最不該說的，就是「加油」。  大家不會強迫小兒麻痺患者去跑大隊接力。那為什麼，當憂鬱症患者無法表現出活潑、開心，甚至社交應對上不適切時，卻沒有人諒解？,Link,,,10/27/20, ,93,,16
,127628276929_10157240799336930,https://www.facebook.com/cwgroup/posts/10157240799336930,#夜間輕讀【為什麼有些人能實現夢想，有些人只能說說？】  好萊塢影星威爾史密斯告訴你，「99％的人根本不願意下功夫去做會讓夢想成真的事。」  想達成夢想和目標不是只有嘴砲，更應該努力做一件事：「自律是成功的中心準則。如果你無法打贏自己心智這場戰，你又怎麼能戰勝世界上的艱難？」,Link,,,10/27/20, ,164,4,66
,127628276929_10157240638936930,https://www.facebook.com/cwgroup/posts/10157240638936930,【從反共銀行家變政論名嘴，汪浩為何受歡迎？】  汪浩近日在節目上討論美國大選情勢，引起許多討論。但你可能不知道，這位知識淵博、思路清晰，而且極度反共的上海人，其實是在英國、香港工作25年的投資銀行高層，為何退休後的第三人生，是上節目當名嘴？  ▌升級《天下》LINE，自選頻道訂閱、打造你的專屬頭條 https://maac.io/1ffCR,Link,,,10/27/20, ,85,6,2
,127628276929_10157239408946930,https://www.facebook.com/cwgroup/posts/10157239408946930,【每天進步1%　一個小習慣如何帶來37倍的進步？】  每天進步1%，一年後，你會變37倍強大；反之，每天都退步1%，一年後，你會弱化到趨近於0！,Link,,,10/27/20, ,2434,65,909
,127628276929_10157240722886930,https://www.facebook.com/cwgroup/posts/10157240722886930,#國際視窗 #美國大選倒數7天【川普當美國總統四年來，改變了什麼？】  還記得川普當時上任六個月後，就宣佈美國退出《巴黎氣候協定》、與中國展開貿易戰等驚人之舉。回顧川普過去4年執政，從外交、軍事等面向，來看看他有幫助改善美國的海外形象嗎？  🔥不斷更新》美國總統大選動態　一次看搖擺州誰領先 >> https://bit.ly/2Ht6p64,Link,,,10/27/20, ,39,5,7
,127628276929_10157240791186930,https://www.facebook.com/cwgroup/posts/10157240791186930,#Off學【靜下來，擁有真正的圓融自在】  人到熟齡，體力或許不復當年，但閱歷、智慧卻正盛。張艾嘉認為，50歲後是最成熟、是最好的階段，學著把心安靜下來，隨順因緣，臣服上天的種種安排。  「安靜下來。你覺得沒有達到目標，可能是因為太執著於某一個點。如果你真的靜下心來，把固執放掉，你會突然發覺，事情很快就解決了。」  --------------------------------------------- 【給最懂生活的你，歡迎訂閱 Off學電子報】 https://bit.ly/2X9AYSK,Link,,,10/27/20, ,9931,130,1438
,127628276929_10157240701831930,https://www.facebook.com/cwgroup/posts/10157240701831930,【台灣醫學的全球之光！成功降低四成以上的肝癌死亡率】  由於台灣是B型和C型肝炎盛行的國家，早在1984年就推動全球第一個全國性B型肝炎預防接種計劃，台灣醫學有哪些重要的創舉和貢獻？  🔥更多精彩內容，請看《不能只有台積電》 https://bit.ly/31lrYNn,Link,,,10/27/20, ,129,9,3
,127628276929_10157240747551930,https://www.facebook.com/cwgroup/posts/10157240747551930,◤不砍樹，你家的衛生紙從哪來？◢ 打破迷思  砍樹也可以很環保！ 　 種樹救地球的觀念深植人心， 然而這個觀念卻讓林農相當困擾， 因為台灣人只要看到林農再砍樹 就會以為他們都是山老鼠... 　 但鮮少有人知道 ＃經濟林 有效砍伐管理 其實才是林木永續經營的方式。 　 在台灣有林農已經做到世界級水準的經濟林， 並一度獲得在國際上非常難取得的 #FSC森林管理證書。 　 現在他們卻不得不忍痛放棄FSC證書 到底遇到什麼難題呢？ --- 訂閱天下雜誌youtube，看盡天下事： >>https://bit.ly/3gR6jCc 　 #天下雜誌video,Video,,,10/27/20, ,135,1,18
,127628276929_10157240754806930,https://www.facebook.com/cwgroup/posts/10157240754806930,【「3C」人才正夯！高科技公司不要「英雄主義者」】  「護國神廠」台積電若沒有艾司摩爾的EUV設備，就無法快速量產先進製程、領先競爭對手。  台灣是艾司摩爾在亞洲最大據點，台灣辦公室就有27個國籍、3000位員工一起工作，人資總監指出艾司摩爾未來選才就看這「3C」→  👉108課綱上路一周年你了解多少? 重點整理回顧>> https://bit.ly/34zWfZE 👉立即預購2020教育特刊>> https://bit.ly/30A3wra,Link,,,10/27/20, ,16,,5
,127628276929_10157240349746930,https://www.facebook.com/cwgroup/posts/10157240349746930,【首度公開！Netflix怎麼確保給出業界最高的薪水？】  Netflix創辦人暨執行長海斯汀直言，多數企業的調薪方式，根本就是在把人才往外推。「比起一開始就付業界最高薪水，失去人才後又要重新徵人，付出的代價反而更高。」  他透過什麼樣的方式來達成這件事呢？  👉下載天下雜誌App，上百支音頻節目隨你聽 >> https://bit.ly/2Q7USu2,Link,,,10/27/20, ,25,2,3
,127628276929_10157240648796930,https://www.facebook.com/cwgroup/posts/10157240648796930,【大腦25歲就開始退化！每天5分鐘就有救】  每天5分鐘，培養更健康的大腦似乎是個穩賺不賠的投資。如果你不曾冥想過，該怎麼做？其實只需要下面簡單3個步驟。  【加入《天下》Telegram ，每日早晨直送國內外重要新聞】點擊連結👉 http://t.me/cwmagazine,Link,,,10/27/20, ,44,2,16
,127628276929_10157240716526930,https://www.facebook.com/cwgroup/posts/10157240716526930,【動物本能的發作】#嫉妒常是不自覺的 　　 因為是「嫉妒發作」，這些人完全沒意識到自己「正在做一件壞事」，所以就算嘴巴說出過分的話也沒有記憶，甚至覺得自己愛講就講，完全無所謂。 　　　 值得一提的是，嫉妒發作與「是否愛小孩」完全無關，純粹是自己無法控制嫉妒發作罷了。 最弔詭的在於，當嫉妒發作，即使本人已經做出破壞行為，但心裡還是認定「我這麼做是為了小孩好。」 >>,Link,,,10/27/20, ,31,,19
,127628276929_10157240670496930,https://www.facebook.com/cwgroup/posts/10157240670496930,我在台南少年觀護所，有20年的輔導經驗。也是進去之後才發現，裡面有好多孩子甚至不會寫字。有一次志工準備了信封信紙，帶他們寫母親節卡片，回收的時候才發現，20個少年幾乎都寫了同一個收件人和地址，跟志工示範的那份一模一樣。  這些少年大都智能健全。那麼到底是哪裡出了問題？有一次我和一個少年聊天，他說其實我上課他們都有聽，回去房間還會討論。我問那為什麼他們上課時都一副不聽的樣子？他說：,Link,,,10/27/20, ,988,15,141
,127628276929_10157239395056930,https://www.facebook.com/cwgroup/posts/10157239395056930,【老闆其實沒那麼喜歡你的5個跡象】  開會時，你話都沒說完，就被老闆打斷？,Link,,,10/27/20, ,33,3,22
,127628276929_10157240720511930,https://www.facebook.com/cwgroup/posts/10157240720511930,"【明天下午，這些年輕人站上500人面前，讓政府聽到、讓企業看到，讓世界知道】CSR在天下  CSR@天下發起「地球的新聲」年度倡議，經過8週徵選和培訓，分別選出三組青年團隊，將在10月28日的「U20國際青年論壇」上代表發出「新聲」，分別為減塑減廢組的「Green Campus綠色校園環保計畫」、氣候變遷組的「Taiwan Youth can help, too 台灣青年氣候聯盟」、以及永續能源組「瓦特先生」。  這次U20國際青年論壇除了邀請青年擔任講者，上台大聲說出他們的地球觀和行動倡議，也邀請政府和企業代表參與，讓彼此互相聆聽，進而減少誤會，同時增加交流、對話的機會。  這次U20代表的徵選，只是U20國際青年論壇的煙火，先聚集了一群永續先行者的目光，再來便是期待在10月28日的論壇上，讓更多人加入環境永續的行列，一起成為逆轉氣候危機的一員，因為氣候變遷，從來就不是一個人的事。  #CSR #企業社會責任 #U20國際青年論壇 #永續 #環保 #U20國際青年論壇  #氣候變遷 #再生能源 #減塑減廢 #永續 #SDGs",Link,,,10/27/20, ,215,5,12
